,AATF,ACTN1,B3GALT4,BGN,CALM1,CBL,CBLB,CCND1,CDK1,CDKN1A,COL4A1,CTSB,DAP,DDX6,DVL2,FKBP1A,FLT1,FXR2,ITGA4,ITGA5,ITGA7,ITGB1,ITGB5,LAMP1,MXD1,NAPA,NFKB2,PDGFRB,POLDIP3,RABIF,RAC1,SERPINF1,SH3KBP1,SLC25A3,SMARCA4,SMARCB1,SOX10,SPARC,TOMM34,TRIM8,VANGL1,VANGL2,VCP
cell_10_Pos11,0.02219624134176217,0.09524949316063817,0.0,0.30255721356908594,0.11997968292844415,0.008715639897051859,0.00779867939034887,0.008093094190119582,0.10018303524525085,0.0006225457069322756,0.0491916700006621,0.0031127285346613776,0.0839857780499109,0.06225457069322756,0.020996444512477726,0.0715927562972117,0.0005998984146422207,0.03361746817434288,0.0,0.0,0.0,0.014318551259442338,0.013197765122128858,0.0865338532635863,0.0,0.0018676371207968269,0.00779867939034887,0.0,0.0317946159760377,0.0,0.05519065414708431,0.0037352742415936537,0.011398069878202194,0.21477826889163507,0.03779360012245991,0.0006225457069322756,0.0,0.01992146262183282,0.010198273048917753,0.019298916914900544,0.005399085731779986,0.004357819948525929,0.08758516853776421
cell_10_Pos14,0.021633069374192404,0.10866591906772342,0.0,0.3401102142249526,0.11695378130422769,0.014818079872871375,0.011492568105039716,0.005644982808712905,0.15819181979878197,0.0021168685532673395,0.0743636759737864,0.004939359957623792,0.10951741370684906,0.039514879660990335,0.017576868866531332,0.07973538217306979,0.002028100253830538,0.0324586511500992,0.0,0.0,0.0013520668358870253,0.02257993123485162,0.011492568105039716,0.08255787357742624,0.0006760334179435126,0.0,0.03042150380745807,0.0,0.029069436971571046,0.0,0.06489920812257721,0.007056228510891132,0.017576868866531332,0.24767362073227872,0.042590105330441295,0.0014112457021782261,0.0,0.007056228510891132,0.007436367597378639,0.02540242263920807,0.006760334179435127,0.004939359957623792,0.08315211040705206
cell_10_Pos15,0.034503550894377503,0.18075524436732684,0.0006765402136152452,0.28311062370786133,0.08253790606105992,0.007985171437914038,0.004059241281691471,0.0210518156090461,0.10215757225590202,0.0021777740285220107,0.026385068330994563,0.0021777740285220107,0.13801420357751001,0.039199932513396187,0.014883884699535393,0.06751099488418233,0.0,0.026133288342264124,0.0,0.0,0.0,0.02322958963756811,0.012177723845074415,0.12122942092105857,0.0013530804272304903,0.0,0.010148103204228678,0.0,0.027738148758225053,0.0,0.07915520499298369,0.004355548057044021,0.01691350534038113,0.3128735354309955,0.04329857367137569,0.0021777740285220107,0.0,0.018148116904350087,0.010148103204228678,0.05299250136070225,0.008118482563382943,0.010888870142610052,0.08930330819721237
cell_10_Pos16,0.015968017364209705,0.13033018182563547,0.0005322672454736568,0.4202125593391565,0.10272757837641577,0.011688805544900042,0.007984008682104853,0.0040910819407150145,0.04843631933810277,0.0,0.15648657016925513,0.0035066416634700124,0.05908166424757591,0.04441746107062016,0.0069194741911575396,0.07071727354664525,0.007451741436631197,0.019286529149085067,0.0,0.0,0.0,0.01987096942633007,0.015435750118736049,0.06545731105144023,0.0,0.0011688805544900042,0.026613362273682845,0.0005844402772450021,0.01224214664589411,0.0005844402772450021,0.043113646883366205,0.01402656665388005,0.017032551855157018,0.1642277179058456,0.02075842257347262,0.0029222013862250104,0.0,0.021039849980820077,0.01011307766399948,0.030390894416740106,0.004790405209262912,0.007013283326940025,0.04151684514694524
cell_10_Pos18,0.013029236877916782,0.0884243314435409,0.0005011244953044916,0.3734845887545364,0.11926762988246899,0.012985391330869643,0.01002248990608983,0.008656927553913094,0.11626088291064206,0.0012367039362732994,0.04059108411966382,0.004328463776956547,0.07967879475341416,0.04081122989701887,0.0070157429342628825,0.062453548781801614,0.0005011244953044916,0.021642318884782737,0.0,0.0,0.0,0.02782583856614923,0.0070157429342628825,0.06987377239944141,0.0020044979812179663,0.0018550559044099488,0.013029236877916782,0.0012367039362732994,0.014031485868525765,0.0,0.03407646568070543,0.0049468157450931975,0.014532610363830257,0.19849098177186453,0.024555100269920086,0.0018550559044099488,0.0,0.023497374789192685,0.006013493943653899,0.03153595037496913,0.009020240915480848,0.006801871649503146,0.05813044145532103
cell_10_Pos19,0.024720706447385696,0.11041915546498945,0.0,0.2035338164168089,0.14173205029834465,0.009064259030708089,0.009064259030708089,0.012360353223692848,0.065097860311449,0.0,0.04614531870178663,0.0016480470964923798,0.1137152496579742,0.0568576248289871,0.029664847736862836,0.1054750141755123,0.0008240235482461899,0.03543301257458616,0.0,0.0,0.0,0.009888282578954279,0.02060058870615475,0.11289122610972802,0.0016480470964923798,0.0008240235482461899,0.018128518061416177,0.0,0.04779336579827901,0.0008240235482461899,0.06427383676320281,0.005768164837723329,0.01730449451316999,0.2546232764080727,0.036257036122832355,0.0008240235482461899,0.0,0.009888282578954279,0.008240235482461899,0.021424612254400937,0.007416211934215709,0.005768164837723329,0.0807543077281266
cell_10_Pos2,0.0144146278444068,0.1667497728567786,0.0007207313922203401,0.36432094402521165,0.10013368994770681,0.008693116120495569,0.0072073139222034,0.007902832836814151,0.07437113865048127,0.004616794939697272,0.04909467322678829,0.003951416418407076,0.09369508098864421,0.0521586967229734,0.01369389645218646,0.05294898000665482,0.006486582529983061,0.025289065077805286,0.0007207313922203401,0.0015805665673628304,0.0007207313922203401,0.017386232240991138,0.02234267315883054,0.11301050956644237,0.0014582576205976721,0.0008940391264422372,0.015554747953041835,0.0007902832836814152,0.026734723044290653,0.0013410586896633557,0.044233814491462714,0.006668703801784947,0.018018284805508503,0.21495705316134495,0.023784135943271223,0.002564886077609595,0.0007207313922203401,0.01659594895730972,0.004324388353322041,0.033982181198300855,0.00792804531442374,0.008207635448350705,0.05693777998540687
cell_10_Pos27,0.0144146278444068,0.1667497728567786,0.0007207313922203401,0.3429829451177342,0.05549631720096619,0.008693116120495569,0.0072073139222034,0.007902832836814151,0.008648776706644082,0.0007902832836814152,0.0432438835332204,0.003951416418407076,0.09369508098864421,0.0521586967229734,0.01369389645218646,0.05294898000665482,0.006486582529983061,0.025289065077805286,0.0007207313922203401,0.0015805665673628304,0.0007207313922203401,0.017386232240991138,0.02234267315883054,0.11301050956644237,0.0014414627844406803,0.0,0.0144146278444068,0.0007902832836814152,0.02018047898216952,0.0,0.03964022657211871,0.004741699702088492,0.018018284805508503,0.21495705316134495,0.023784135943271223,0.0015805665673628304,0.0007207313922203401,0.01659594895730972,0.004324388353322041,0.033982181198300855,0.00792804531442374,0.0031611331347256607,0.05693777998540687
cell_10_Pos29,0.006319116355923246,0.05283665319875767,0.00048608587353255736,0.35959702808086524,0.10013368994770681,0.008207635448350705,0.003402601114727901,0.0005129772155219191,0.07437113865048127,0.004616794939697272,0.04909467322678829,0.003077863293131515,0.07777373976520918,0.04924581269010424,0.010207803344183704,0.04103817724175352,0.00048608587353255736,0.015389316465657573,0.00048608587353255736,0.0,0.00048608587353255736,0.00512977215521919,0.00923563159711859,0.07079085574202483,0.0014582576205976721,0.0,0.015554747953041835,0.0,0.026734723044290653,0.0005129772155219191,0.044233814491462714,0.006668703801784947,0.006805202229455802,0.1831328659413251,0.021387778435432523,0.002564886077609595,0.00048608587353255736,0.013337407603569894,0.003888686988260459,0.006668703801784947,0.006319116355923246,0.008207635448350705,0.046178157985592945
cell_10_Pos33,0.016607995982520662,0.0924085930309483,0.0,0.2968146974312026,0.09070520882761285,0.0080910749658434,0.004258460508338632,0.002980922355837042,0.15330457830019073,0.0,0.07494890494675992,0.0008516921016677264,0.12306950869098646,0.03832614457504768,0.005961844711674084,0.04343629718505404,0.0,0.015330457830019075,0.0,0.0,0.0004258460508338632,0.007239382864175673,0.01873722623668998,0.046417219540891085,0.0012775381525015894,0.0004258460508338632,0.012775381525015896,0.0,0.025124916999197926,0.0,0.06004429316757471,0.002129230254169316,0.008516921016677264,0.18566887816356434,0.027254147253367243,0.0017033842033354527,0.0,0.014478765728351346,0.005110152610006358,0.023847378846696337,0.007665228915009537,0.004684306559172495,0.06515444577758106
