Itga4,Itga7,Egfr,Flt1,Mxd1,Cbl,Ksr1,Vangl2,Cblb,Rabif,Tomm34,Cd2ap,Vangl1,Mlx,Tomm40l,Ppp2r1b,Dvl3,Smarce1,Ets2,Smarca4,Dvl1,Axin1,Dvl2,Sh3kbp1,Pdgfrb,Itga5,Ddx6,Nfkb2,Fxr2,Crk,Smarcb1,Trim8,Cdkn1a,Poldip3,Ccnd1,Col4a1,Fam120a,Trap1,Sec61a1,Itgb5,Tomm40,Myc,Pdia4,Igfbp4,Ctnna1,Vat1,Zfp36l1,Slc25a1,Eif3b,Trim28,Ppp2ca,Itgb1,Cyr61,Pdia3,Serpinh1,Fbln2,Eif4b,Psat1,Col1a1,Bgn
0,7,1,1,18,8,9,16,8,22,25,25,30,23,15,29,62,6,6,16,43,24,45,13,23,77,71,29,69,14,37,26,37,54,84,53,53,162,50,4,14,39,6,17,43,86,35,39,39,115,108,147,178,32,172,182,166,393,513,313
0,1,0,0,9,13,8,11,7,8,20,7,4,13,12,18,37,18,6,8,28,14,25,18,15,42,41,14,42,24,10,20,17,3,11,33,23,71,27,4,47,31,,,,87,15,5,40,67,82,68,109,41,84,92,49,154,280,136
0,2,2,0,19,18,5,25,10,8,31,18,19,31,15,36,53,28,7,3,52,24,35,18,18,69,46,24,59,27,34,5,48,23,32,57,47,123,35,17,112,40,,,,89,34,25,65,109,153,130,137,33,131,130,140,384,315,318
0,7,2,1,14,22,8,24,5,8,28,26,5,22,18,19,46,29,6,10,37,16,112,22,27,81,89,33,76,21,35,63,32,37,120,106,8,201,33,18,56,43,,,,103,65,25,24,91,67,179,238,76,215,131,240,146,1004,879
0,3,1,2,9,4,7,11,1,11,15,3,12,18,10,13,33,10,14,3,20,25,39,13,30,54,26,12,46,6,30,3,4,40,58,51,67,150,39,9,66,18,,,,75,14,12,58,80,33,120,68,19,155,124,25,223,312,167
0,1,1,6,14,27,4,18,2,5,42,13,3,16,10,19,54,10,8,10,32,13,135,20,8,62,66,8,36,29,22,54,46,40,38,72,25,58,22,15,19,73,,,,56,64,41,26,84,124,177,260,338,94,172,108,235,414,235
0,0,0,0,8,9,0,15,1,6,10,5,4,9,2,7,17,6,6,5,12,8,17,9,6,26,7,12,17,8,11,9,16,46,112,44,25,43,8,19,79,56,,,,43,22,7,25,29,41,85,65,0,72,59,66,100,86,60
0,5,0,2,8,17,4,22,5,7,16,9,9,21,10,7,30,15,11,9,24,13,49,27,17,38,27,25,36,16,17,11,34,37,28,23,27,94,16,4,21,32,,,,83,28,18,37,70,71,151,185,17,143,120,166,153,317,425
0,1,3,2,20,12,8,19,9,8,21,13,9,27,6,16,42,16,5,11,26,10,41,16,18,54,39,11,61,19,17,7,17,47,79,103,23,67,19,42,31,8,,,,124,36,26,36,65,77,101,146,63,75,81,136,140,270,117
0,3,0,1,8,15,3,7,0,5,17,4,7,17,4,8,17,14,4,6,17,7,22,6,29,44,72,6,47,9,11,6,16,58,108,129,24,57,16,2,25,51,,,,40,11,13,40,56,44,101,52,69,111,58,23,91,203,151
