Genes,HybCycle,Channel
ITGA4,0,1
EGFR,0,3
FLT1,0,2
ITGA7,1,1
KSR1,1,3
CBLB,1,2
VANGL1,2,1
ETS2,2,3
RABIF,2,2
SMARCA4,3,1
CD2AP,3,3
CBL,3,2
MXD1,4,1
SMARCE1,4,3
PDGFRB,4,2
SH3KBP1,5,1
AXIN1,5,3
VANGL2,5,2
NFKB2,6,1
CRK,6,3
SMARCB1,6,2
TOMM34,7,1
DVL1,7,3
TRIM8,7,2
CDKN1A,8,1
ZFP36L1,8,3
ITGB5,8,2
POLDIP3,9,1
DVL3,9,3
FXR2,9,2
DVL2,10,1
FAM120A,10,3
ITGA5,10,2
COL4A1,11,1
MYC,11,3
DDX6,11,2
CCND1,12,1
TRAP1,12,3
ITGB1,12,2
BGN,13,1
